dish_id,dish_name,health_goal,calories,rag_context
M1026,Súp cồi điệp rau củ,Giảm cân / Ăn nhẹ,150.0,"Món ăn: Súp cồi điệp rau củ. Mục tiêu: Giảm cân / Ăn nhẹ. Lượng calo: 150.0 kcal. Thời gian nấu: 15 phút. Độ khó: Trung bình. Nguyên liệu chính: Bí đỏ, Cà rốt, Đậu bi, ngò rí, Cồi sò điệp, Tiêu, Bột năng, Hạt nêm ajingon heo, dầu mè. Sơ chế: Cà rốt gọt vỏ, cắt hạt lựu. Bí đỏ gọt vỏ, cắt hạt lựu rồi tẩm qua bột năng. Cồi điệp ướp với 1/2m hạt nêm Aji-ngon® và 1/2m tiêu, để thấm, sau đó trộn với 1m bột năng. Ngò rí rửa sạch, cắt nhỏ. Hòa tan 1M bột năng với ½ chén nước.. Các bước thực hiện: Đun sôi 1.2 lít nước, cho cà rốt và đậu bi vào nấu khoảng 2 phút, cho bí đỏ vào nấu 1 chút rồi thêm cồi sò điệp vào nấu chín, nêm 1m hạt nêm Aji-ngon®, nếm vị vừa ăn. Giảm nhỏ lửa, cho nước bột năng vào từ từ, khuấy đều đến khi nước súp sánh vừa, thêm 1/2m dầu mè và 1/2m tiêu, tắt bếp.
Đun sôi 1.2 lít nước, cho cà rốt và đậu bi vào nấu khoảng 2 phút, cho bí đỏ vào nấu 1 chút rồi thêm cồi sò điệp vào nấu chín, nêm 1m hạt nêm Aji-ngon®, nếm vị vừa ăn. Giảm nhỏ lửa, cho nước bột năng vào từ từ, khuấy đều đến khi nước súp sánh vừa, thêm 1/2m dầu mè và 1/2m tiêu, tắt bếp.. Cách dùng: Múc súp ra tô, rắc thêm ngò rí và tiêu dùng nóng.."
M1693,Chân giò cuộn hầm sâm,Dinh dưỡng cân bằng,320.0,"Món ăn: Chân giò cuộn hầm sâm. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 320.0 kcal. Thời gian nấu: 45 phút. Độ khó: Dễ. Nguyên liệu chính: Hạt sen tươi, Hồng sâm, Kỷ tử, Táo đỏ, Cà rốt, Đương quy, Gừng củ, Rau mùi Muối. Sơ chế: Thịt ướp với 1/2m mì chính AJI-NO-MO-TO®, 1/2m muối. Dùng chỉ cotton cuộn tròn. Củ sâm, đương quy, kỳ tử, táo đỏ rửa sạch ngâm nước. Củ sen cắt lát, ngâm vào chén nước có ít muối.. Các bước thực hiện: Chần sơ thịt với nước có ít gừng và muối.Cho thịt vào nồi nước dùng, thêm hồng sâm, nêm 1m muối, 1/2m mì chính AJI-NO-MO-TO® và hầm khoảng 20 phút.Phi thơm hành khô băm nhỏ, tiêu sọ, gừng lát, cho đương quy, táo đỏ, hạt sen vào xào. Khi cuộn giò heo chín tới, cho hỗn hợp xào vào, cho tiếp củ sen vào hầm 15 phút, cho cà rốt vào đến khi các nguyên liệu chín đều, tắt lửa.
Chần sơ thịt với nước có ít gừng và muối.
Cho thịt vào nồi nước dùng, thêm hồng sâm, nêm 1m muối, 1/2m mì chính AJI-NO-MO-TO® và hầm khoảng 20 phút.
Phi thơm hành khô băm nhỏ, tiêu sọ, gừng lát, cho đương quy, táo đỏ, hạt sen vào xào. Khi cuộn giò heo chín tới, cho hỗn hợp xào vào, cho tiếp củ sen vào hầm 15 phút, cho cà rốt vào đến khi các nguyên liệu chín đều, tắt lửa.. Cách dùng: Dùng kèm với bún.Lạng bớt thịt để cuốn giò heo đều và đẹp mắt.."
M0994,Gỏi tôm rau câu,Giảm cân / Ăn nhẹ,180.0,"Món ăn: Gỏi tôm rau câu. Mục tiêu: Giảm cân / Ăn nhẹ. Lượng calo: 180.0 kcal. Thời gian nấu: 0 phút. Độ khó: Dễ. Nguyên liệu chính: Cần tàu bỏ bớt lá, Lá húng lủi, Ớt sừng cắt sợi, Nước cốt chanh, Nước mắm, nước mắm AJINOMOTO Giấm gạo lên men, Ớt băm, Hành tây, Đường. Sơ chế: Luộc chín tôm với nước sôi pha chút giấm, đường, làm lạnh, bóc vỏ, bỏ đầu chừa đuôi. Hành tây cắt ngang dày 2mm, cần tàu cắt xéo 5cm. Rau câu ngâm với ít cốt chanh cho nở xả 2 lần nước, để thật ráo, cắt ngắn 7cm. Húng lủi cắt nhỏ. Ướp hành tây, cà rốt, dưa leo với 1M đường để 15 phút, vắt ráo nước.. Các bước thực hiện: Nước trộn gỏi: Khuấy đều 3M nước mắm, 5M đường, 2M Giấm gạo lên men LISA®, 1M nước cốt chanh, cho 1M ớt sừng băm và 2M dưa kiệu cắt nhỏ vào.Trộn gỏi: Trộn tất cả nguyên liệu với 1/2 nước trộn gỏi để 10′ cho thấm.
Nước trộn gỏi: Khuấy đều 3M nước mắm, 5M đường, 2M Giấm gạo lên men LISA®, 1M nước cốt chanh, cho 1M ớt sừng băm và 2M dưa kiệu cắt nhỏ vào.
Trộn gỏi: Trộn tất cả nguyên liệu với 1/2 nước trộn gỏi để 10′ cho thấm.. Cách dùng: Cho gỏi ra dĩa, bỏ hết nước, rưới phần nước trộn còn lại lên, rắc mè rang lên trên, ăn kèm bánh phồng tôm.."
M0005,Chả thịt heo trứng muối,Dinh dưỡng cân bằng,300.0,"Món ăn: Chả thịt heo trứng muối. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 300.0 kcal. Thời gian nấu: 20 phút. Độ khó: Dễ. Nguyên liệu chính: Mọc, Lòng đỏ trứng muối, Hành tím băm, Ớt sừng băm, Cà chua, Tiêu. Sơ chế: Cá chim làm sạch, đập giập đầu hành lá và cọng cần tàu nhét vào bụng cá. Dưa gang muối chua cắt mỏng 0,5 cm, vắt ráo nước. Cà chua cắt múi cau. Hành lá, cần tàu cắt khúc 4cm. Ớt sừng cắt sợi, húng quế cắt sợi.. Các bước thực hiện: Trộn nhân: Trộn thịt xay với mọc và nấm mèo, đầu hành lá băm, cọng ngò băm, ớt sừng băm cùng 1M Xốt Mayonnaise Aji-mayo® và lòng đỏ trứng muối, nêm 1/2m Bột ngọt AJI-NO-MOTO®, 1m tiêu, trộn đều.Tạo hình: Thoa dầu lên dĩa, ép chả lên dày khoảng 1cm.Chiên chả: Cho 5M dầu ăn vào chảo, đợi dầu nóng, cho chả vào chiên chín vàng 2 mặt, vớt ra giấy thấm dầu rồi cắt miếng vừa ăn.
Trộn nhân: Trộn thịt xay với mọc và nấm mèo, đầu hành lá băm, cọng ngò băm, ớt sừng băm cùng 1M Xốt Mayonnaise Aji-mayo® và lòng đỏ trứng muối, nêm 1/2m Bột ngọt AJI-NO-MOTO®, 1m tiêu, trộn đều.
Tạo hình: Thoa dầu lên dĩa, ép chả lên dày khoảng 1cm.
Chiên chả: Cho 5M dầu ăn vào chảo, đợi dầu nóng, cho chả vào chiên chín vàng 2 mặt, vớt ra giấy thấm dầu rồi cắt miếng vừa ăn.. Cách dùng: Xếp chả ra dĩa cùng với cà chua, dưa leo, sau đó trang trí thêm 1 lớp Xốt Mayonnaise Aji-mayo® lên trên.."
M0002,Cá hồi chiên xốt xoài,Dinh dưỡng cân bằng,310.0,"Món ăn: Cá hồi chiên xốt xoài. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 310.0 kcal. Thời gian nấu: 20 phút. Độ khó: Dễ. Nguyên liệu chính: Ớt sừng băm, Nước cốt chanh, Vỏ chanh mài, Nước mắm, Dưa leo, Cà chua, Tiêu, Muối, Đường. Sơ chế: Cá hồi phi lê cắt con chì, ướp với 1M nước cốt chanh và 1/2m tiêu, để thấm. Xoài cắt hạt lựu lấy 2M.. Các bước thực hiện: Làm xốt: Trộn 2M Xốt Mayonnaise Aji-mayo® với 2M xoài thái hạt lựu, 2M nước cốt chanh, 1/2m vỏ chanh mài và 1m ớt sừng băm.Chiên cá: Lăn cá hồi qua Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, đun nóng dầu, cho cá vào chiên ngập dầu đến khi cá chín vàng, vớt ra giấy thấm dầu.
Làm xốt: Trộn 2M Xốt Mayonnaise Aji-mayo® với 2M xoài thái hạt lựu, 2M nước cốt chanh, 1/2m vỏ chanh mài và 1m ớt sừng băm.
Chiên cá: Lăn cá hồi qua Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, đun nóng dầu, cho cá vào chiên ngập dầu đến khi cá chín vàng, vớt ra giấy thấm dầu.. Cách dùng: Xếp cá ra dĩa cùng với salad, cà chua, dưa leo. Sau đó trang trí thêm xoài và xốt ăn kèm.."
MZZBO,SÚP GÀ BÍ ĐỎ,Dinh dưỡng cân bằng,400.0,"Món ăn: SÚP GÀ BÍ ĐỎ. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 400.0 kcal. Thời gian nấu: 5 phút. Độ khó: Dễ. Nguyên liệu chính: bơ lạt, Bơ lạt, Đọt lá quế, Má đùi gà, Bí đỏ, Khoai tây, muối, Muối, Má đùi gà, Bí đỏ, Khoai tây, Kem sữa tươi, Đường, đường, Đường, Tỏi, Hành tây, Hành tây. Sơ chế: 
Bí đỏ gọt vỏ, cắt nhỏ. Cà rốt cắt tương tự bí đỏ. Hành tây băm nhỏ.
Thịt ức gà cắt miếng ướp với 1/4m tiêu, 1m hành tỏi băm, 1/2m Hạt nêm Aji-ngon® Heo Giảm Muối. Các bước thực hiện: Nấu súp:Đun nóng bơ với 1m tỏi băm, cho hành tây băm và ức gà xào chín, thêm bí đỏ, cà rốt, 300ml nước dùng gà, 1 chén nước vào, nêm 2m đường, 1.5m Hạt nêm Aji-ngon® Heo Giảm Muối. Nấu sôi 5 phút. Súp chín xay nhuyễn bằng máy xay sinh tố. Cho súp vào nồi, thêm kem sữa tươi và khuấy đều. Tắt lửa.
Bánh mì ăn kèm:Áp chảo lát bánh mì trên chảo (hoặc nồi chiên ko dầu) cho vàng sém. Lấy ra, rưới thêm 2M Xốt Mè Rang “Aji-Xốt” (cho 4 lát).
Yêu cầu:. Cách dùng: Múc súp ra đĩa sâu lòng, vẽ trang trí mạng nhện bằng xốt kem. Ăn kèm bánh mì với Xốt Mè Rang “Aji-Xốt”.."
M0319,Súp gà mọc nấm hương,Dinh dưỡng cân bằng,200.0,"Món ăn: Súp gà mọc nấm hương. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 200.0 kcal. Thời gian nấu: 5 phút. Độ khó: Dễ. Nguyên liệu chính: Nước mắm, Giò sống, Cà rốt, Nấm mèo, tiêu xanh Hạt nêm Ajingon Nấm Nước tương Phú Sĩ, Hành tím, dầu mè, ngò rí, Tiêu, Nước tương, Bột năng, Ớt sừng. Sơ chế: Cà rốt: phân nửa băm nhỏ, phân nửa cắt sợi Nấm hương: cắt nhỏ (2 tai), cắt sợi (6 tai) Nấm mèo cắt nhỏ Ngò rí tách riêng cọng và lá Đậu phộng đã luộc chín, băm nhỏ. Gà luộc chín xé sợi, ướp vào gà chút gia vị: 1/2m hạt nêm Aji-ngon Nấm, 1m nước mắm. Xương gà tiếp tục nấu nước dùng cho ngọt, sau đó gạn lại lấy 1.2l nước dùng. Mọc: Trộn giò sống cùng nấm hương, nấm mèo đã ngâm cắt nhỏ, 1m hành tím + 1M cà rốt băm nhỏ + cọng ngò + đậu phộng băm nhỏ + 1/3m hạt nêm Ajingon nấm + ít tiêu xay. Viên mọc tròn cỡ trái sơ ri.. Các bước thực hiện: Đun sôi lại 1,2L nước dùng gà. Nêm 2m hạt nêm Aji-ngon Nấm, 1/2m bột ngọt Ajinomoto, 1/2m đường, 1/2M nước mắm.Thả mọc và cho nấm hương, cà rốt cắt sợi vào. Thêm nước bột năng cho nước dùng sánh lại, cho trứng gà vào, và thêm 2/3 thịt gà xé. Cuối cùng nêm 1/2m dầu mè vào cho thơm.
Đun sôi lại 1,2L nước dùng gà. Nêm 2m hạt nêm Aji-ngon Nấm, 1/2m bột ngọt Ajinomoto, 1/2m đường, 1/2M nước mắm.
Thả mọc và cho nấm hương, cà rốt cắt sợi vào. Thêm nước bột năng cho nước dùng sánh lại, cho trứng gà vào, và thêm 2/3 thịt gà xé. Cuối cùng nêm 1/2m dầu mè vào cho thơm.. Cách dùng: Xốt chấm: Múc súp gà thêm gà xé, ngò, tiêu lên trên mặt. Dùng nóng cùng nước tương Phú Sĩ + ớt cắt lát.."
M1485,Gỏi vịt rau rừng,Giảm cân / Ăn nhẹ,180.0,"Món ăn: Gỏi vịt rau rừng. Mục tiêu: Giảm cân / Ăn nhẹ. Lượng calo: 180.0 kcal. Thời gian nấu: 45 phút. Độ khó: Dễ. Nguyên liệu chính: Ức vịt, Rau rừng lặt sạch, Hành tím cắt lát, Dầu phi hành, Nước mắm, nước mắm AJINOMOTO Giấm gạo lên men, ngò gai, Hành phi, Đậu phộng, tương xí muội, rau quế, Muối, Ớt sừng cắt sợi, Đường. Sơ chế: Vịt luộc chín trong nước có gừng đập dập và ít muối, vớt ra cắt lát mỏng. Rau rừng cắt khúc 3cm. Rau quế, ngò gai cắt khúc 2cm. Đậu phộng giã nhỏ. Pha nước trộn gỏi: 2M đường, 1/4m muối, 1M nước mắm, 1M tương xí muội, 1/2m Bột ngọt AJI-NO-MOTO®, 1.5M Giấm gạo lên men LISA®, thêm hành tím, tỏi, ớt, gừng.. Các bước thực hiện: Trộn 1M nước trộn gỏi và dầu phi hành vào thịt vịt, để thấm 5 phút. Trộn 1/2 đậu phộng, hành phi, rau quế, ngò gai với thịt vịt.Cho rau rừng, bắp cải vào tô trộn, cho 1M hành phi, ớt sừng cắt sợi và phần nước trộn gỏi còn lại vào trộn nhẹ nhàng.
Trộn 1M nước trộn gỏi và dầu phi hành vào thịt vịt, để thấm 5 phút. Trộn 1/2 đậu phộng, hành phi, rau quế, ngò gai với thịt vịt.
Cho rau rừng, bắp cải vào tô trộn, cho 1M hành phi, ớt sừng cắt sợi và phần nước trộn gỏi còn lại vào trộn nhẹ nhàng.. Cách dùng: Cho rau ra đĩa, xếp thịt vịt lên trên. Rắc hành phi, đậu phộng, trang trí với ớt sợi và rau húng quế.."
M0008,Cá hấp ngưu bàng,Dinh dưỡng cân bằng,220.0,"Món ăn: Cá hấp ngưu bàng. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 220.0 kcal. Thời gian nấu: 15 phút. Độ khó: Dễ. Nguyên liệu chính: Nước gừng, Gừng sợi, Nấm đông cô Nhật, Hành lá, Tiêu, Rượu, Dầu ăn, Hạt nêm ajingon heo, Nước tương Phú Sĩ, Hành tỏi băm. Sơ chế: Cá điêu hồng làm sạch, không mổ bụng, chừa vây, khứa xéo những đường song song cách 2cm trên mình cá. Nấm đông cô Nhật rửa qua nước muối, ngâm nở, luộc chín, cắt lát ngang mỏng bản to. Hành tây cắt múi cau.. Các bước thực hiện: Ướp: Ướp cá với nước gừng và 1M rượu trong 3 phút rồi chắt bỏ nước. Trộn đều 1m Hạt nêm Aji-ngon® (Heo), 1/2m tiêu, 2M Nước tương “Phú Sĩ” rồi ướp ở trong và ngoài cá, để thấm.Xào ngưu bàng: Phi thơm hành tỏi băm, cho ngưu bàng vào xào thơm, nêm 1/2M Nước tương “Phú Sĩ”, 2M nước, xào đến khi ngưu bàng chín, trút ra.Hấp cá: Lấy 1 ít ngưu bàng và hành tây cho vào trong bụng cá, đặt cá lên dĩa, xếp xen kẽ vào rãnh thịt cá 1 miếng nấm, 1 miếng cà rốt và 1-2 miếng ngưu bàng. Trên mình cá đặt hành lá, gừng sợi, ớt sợi. Phần ngưu bàng và cà rốt còn dư xếp xung quanh dĩa. Đem hấp 10 – 12 phút cho cá chín.
Ướp: Ướp cá với nước gừng và 1M rượu trong 3 phút rồi chắt bỏ nước. Trộn đều 1m Hạt nêm Aji-ngon® (Heo), 1/2m tiêu, 2M Nước tương “Phú Sĩ” rồi ướp ở trong và ngoài cá, để thấm.
Xào ngưu bàng: Phi thơm hành tỏi băm, cho ngưu bàng vào xào thơm, nêm 1/2M Nước tương “Phú Sĩ”, 2M nước, xào đến khi ngưu bàng chín, trút ra.
Hấp cá: Lấy 1 ít ngưu bàng và hành tây cho vào trong bụng cá, đặt cá lên dĩa, xếp xen kẽ vào rãnh thịt cá 1 miếng nấm, 1 miếng cà rốt và 1-2 miếng ngưu bàng. Trên mình cá đặt hành lá, gừng sợi, ớt sợi. Phần ngưu bàng và cà rốt còn dư xếp xung quanh dĩa. Đem hấp 10 – 12 phút cho cá chín.. Cách dùng: Lấy dĩa cá hấp ra, ăn kèm Nước tương “Phú Sĩ” và ớt cắt lát. Dùng nóng.."
M0011,Pancake thanh long đỏ,Dinh dưỡng cân bằng,250.0,"Món ăn: Pancake thanh long đỏ. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 250.0 kcal. Thời gian nấu: 20 phút. Độ khó: Dễ. Nguyên liệu chính: Whipping đánh nổi. Sơ chế: Whipping đánh nổi cho vào túi bắt bông kem.. Các bước thực hiện: Pha bột: Pha 1 gói bột bánh rán pha sẵn vị truyền thống với 100ml nước thanh long đỏ xay và 60ml nước.Đổ bánh: đun nóng chảo chống dính rồi làm nguội trên khăn ẩm, dùng vá múc bột đổ vào chảo, đợi bánh chín se viền thì lật mặt bánh lại, rán cho mặt bánh chín thì lấy ra dĩa. Đổ đến khi hết bột.
Pha bột: Pha 1 gói bột bánh rán pha sẵn vị truyền thống với 100ml nước thanh long đỏ xay và 60ml nước.
Đổ bánh: đun nóng chảo chống dính rồi làm nguội trên khăn ẩm, dùng vá múc bột đổ vào chảo, đợi bánh chín se viền thì lật mặt bánh lại, rán cho mặt bánh chín thì lấy ra dĩa. Đổ đến khi hết bột.. Cách dùng: Xếp từng cặp bánh với 1 lớp whipping và 1 lát thanh long đỏ ở giữa. Trên mặt bánh sử dụng whipping để vẽ thành hình bông hoa rồi bày nho xanh ở cánh hoa, thanh long hạt lựu làm nhụy hoa, bên cạnh đặt 1 sợi vỏ chanh xoắn vòng.."
