dish_id,dish_name,health_goal,calories,main_ingredients,is_vegetarian,dish_type,rag_context
M1026,Súp cồi điệp rau củ,Giảm cân / Ăn nhẹ,150.0,"Bí đỏ, Cà rốt, Đậu bi, ngò rí, Cồi sò điệp, Tiêu, Bột năng, Hạt nêm ajingon heo, dầu mè",False,súp,"Tên món: Súp cồi điệp rau củ. Phân loại: Không chay. Kiểu món: súp. Mục tiêu: Giảm cân / Ăn nhẹ. Calo: 150.0 kcal. Thời gian: 15. Độ khó: Trung bình. Nguyên liệu chính: Bí đỏ, Cà rốt, Đậu bi, ngò rí, Cồi sò điệp, Tiêu, Bột năng, Hạt nêm ajingon heo, dầu mè. Đặc điểm nổi bật: món không chay kiểu súp, nổi bật với Bí đỏ, Cà rốt, Đậu bi, ngò rí."
M1693,Chân giò cuộn hầm sâm,Dinh dưỡng cân bằng,320.0,"Hạt sen tươi, Hồng sâm, Kỷ tử, Táo đỏ, Cà rốt, Đương quy, Gừng củ, Rau mùi Muối",False,cuộn,"Tên món: Chân giò cuộn hầm sâm. Phân loại: Không chay. Kiểu món: cuộn. Mục tiêu: Dinh dưỡng cân bằng. Calo: 320.0 kcal. Thời gian: 45. Độ khó: Dễ. Nguyên liệu chính: Hạt sen tươi, Hồng sâm, Kỷ tử, Táo đỏ, Cà rốt, Đương quy, Gừng củ, Rau mùi Muối. Đặc điểm nổi bật: món không chay kiểu cuộn, nổi bật với Hạt sen tươi, Hồng sâm, Kỷ tử, Táo đỏ."
M0994,Gỏi tôm rau câu,Giảm cân / Ăn nhẹ,180.0,"Cần tàu bỏ bớt lá, Lá húng lủi, Ớt sừng cắt sợi, Nước cốt chanh, Nước mắm, nước mắm AJINOMOTO Giấm gạo lên men, Ớt băm, Hành tây, Đường",False,gỏi,"Tên món: Gỏi tôm rau câu. Phân loại: Không chay. Kiểu món: gỏi. Mục tiêu: Giảm cân / Ăn nhẹ. Calo: 180.0 kcal. Thời gian: 0. Độ khó: Dễ. Nguyên liệu chính: Cần tàu bỏ bớt lá, Lá húng lủi, Ớt sừng cắt sợi, Nước cốt chanh, Nước mắm, nước mắm AJINOMOTO Giấm gạo lên men, Ớt băm, Hành tây, Đường. Đặc điểm nổi bật: món không chay kiểu gỏi, nổi bật với Cần tàu bỏ bớt lá, Lá húng lủi, Ớt sừng cắt sợi, Nước cốt chanh."
M0005,Chả thịt heo trứng muối,Dinh dưỡng cân bằng,300.0,"Mọc, Lòng đỏ trứng muối, Hành tím băm, Ớt sừng băm, Cà chua, Tiêu",False,khác,"Tên món: Chả thịt heo trứng muối. Phân loại: Không chay. Kiểu món: khác. Mục tiêu: Dinh dưỡng cân bằng. Calo: 300.0 kcal. Thời gian: 20. Độ khó: Dễ. Nguyên liệu chính: Mọc, Lòng đỏ trứng muối, Hành tím băm, Ớt sừng băm, Cà chua, Tiêu. Đặc điểm nổi bật: món không chay, nổi bật với Mọc, Lòng đỏ trứng muối, Hành tím băm, Ớt sừng băm."
M0002,Cá hồi chiên xốt xoài,Dinh dưỡng cân bằng,310.0,"Ớt sừng băm, Nước cốt chanh, Vỏ chanh mài, Nước mắm, Dưa leo, Cà chua, Tiêu, Muối, Đường",False,chiên,"Tên món: Cá hồi chiên xốt xoài. Phân loại: Không chay. Kiểu món: chiên. Mục tiêu: Dinh dưỡng cân bằng. Calo: 310.0 kcal. Thời gian: 20. Độ khó: Dễ. Nguyên liệu chính: Ớt sừng băm, Nước cốt chanh, Vỏ chanh mài, Nước mắm, Dưa leo, Cà chua, Tiêu, Muối, Đường. Đặc điểm nổi bật: món không chay kiểu chiên, nổi bật với Ớt sừng băm, Nước cốt chanh, Vỏ chanh mài, Nước mắm."
MZZBO,SÚP GÀ BÍ ĐỎ,Dinh dưỡng cân bằng,400.0,"bơ lạt, Bơ lạt, Đọt lá quế, Má đùi gà, Bí đỏ, Khoai tây, muối, Muối, Má đùi gà, Bí đỏ, Khoai tây, Kem sữa tươi, Đường, đường, Đường, Tỏi, Hành tây, Hành tây",False,súp,"Tên món: SÚP GÀ BÍ ĐỎ. Phân loại: Không chay. Kiểu món: súp. Mục tiêu: Dinh dưỡng cân bằng. Calo: 400.0 kcal. Thời gian: 5. Độ khó: Dễ. Nguyên liệu chính: bơ lạt, Bơ lạt, Đọt lá quế, Má đùi gà, Bí đỏ, Khoai tây, muối, Muối, Má đùi gà, Bí đỏ, Khoai tây, Kem sữa tươi, Đường, đường, Đường, Tỏi, Hành tây, Hành tây. Đặc điểm nổi bật: món không chay kiểu súp, nổi bật với bơ lạt, Bơ lạt, Đọt lá quế, Má đùi gà."
M0319,Súp gà mọc nấm hương,Dinh dưỡng cân bằng,200.0,"Nước mắm, Giò sống, Cà rốt, Nấm mèo, tiêu xanh Hạt nêm Ajingon Nấm Nước tương Phú Sĩ, Hành tím, dầu mè, ngò rí, Tiêu, Nước tương, Bột năng, Ớt sừng",False,súp,"Tên món: Súp gà mọc nấm hương. Phân loại: Không chay. Kiểu món: súp. Mục tiêu: Dinh dưỡng cân bằng. Calo: 200.0 kcal. Thời gian: 5. Độ khó: Dễ. Nguyên liệu chính: Nước mắm, Giò sống, Cà rốt, Nấm mèo, tiêu xanh Hạt nêm Ajingon Nấm Nước tương Phú Sĩ, Hành tím, dầu mè, ngò rí, Tiêu, Nước tương, Bột năng, Ớt sừng. Đặc điểm nổi bật: món không chay kiểu súp, nổi bật với Nước mắm, Giò sống, Cà rốt, Nấm mèo."
M1485,Gỏi vịt rau rừng,Giảm cân / Ăn nhẹ,180.0,"Ức vịt, Rau rừng lặt sạch, Hành tím cắt lát, Dầu phi hành, Nước mắm, nước mắm AJINOMOTO Giấm gạo lên men, ngò gai, Hành phi, Đậu phộng, tương xí muội, rau quế, Muối, Ớt sừng cắt sợi, Đường",False,gỏi,"Tên món: Gỏi vịt rau rừng. Phân loại: Không chay. Kiểu món: gỏi. Mục tiêu: Giảm cân / Ăn nhẹ. Calo: 180.0 kcal. Thời gian: 45. Độ khó: Dễ. Nguyên liệu chính: Ức vịt, Rau rừng lặt sạch, Hành tím cắt lát, Dầu phi hành, Nước mắm, nước mắm AJINOMOTO Giấm gạo lên men, ngò gai, Hành phi, Đậu phộng, tương xí muội, rau quế, Muối, Ớt sừng cắt sợi, Đường. Đặc điểm nổi bật: món không chay kiểu gỏi, nổi bật với Ức vịt, Rau rừng lặt sạch, Hành tím cắt lát, Dầu phi hành."
M0008,Cá hấp ngưu bàng,Dinh dưỡng cân bằng,220.0,"Nước gừng, Gừng sợi, Nấm đông cô Nhật, Hành lá, Tiêu, Rượu, Dầu ăn, Hạt nêm ajingon heo, Nước tương Phú Sĩ, Hành tỏi băm",False,hấp,"Tên món: Cá hấp ngưu bàng. Phân loại: Không chay. Kiểu món: hấp. Mục tiêu: Dinh dưỡng cân bằng. Calo: 220.0 kcal. Thời gian: 15. Độ khó: Dễ. Nguyên liệu chính: Nước gừng, Gừng sợi, Nấm đông cô Nhật, Hành lá, Tiêu, Rượu, Dầu ăn, Hạt nêm ajingon heo, Nước tương Phú Sĩ, Hành tỏi băm. Đặc điểm nổi bật: món không chay kiểu hấp, nổi bật với Nước gừng, Gừng sợi, Nấm đông cô Nhật, Hành lá."
M0011,Pancake thanh long đỏ,Dinh dưỡng cân bằng,250.0,Whipping đánh nổi,True,khác,"Tên món: Pancake thanh long đỏ. Phân loại: Ăn chay được. Kiểu món: khác. Mục tiêu: Dinh dưỡng cân bằng. Calo: 250.0 kcal. Thời gian: 20. Độ khó: Dễ. Nguyên liệu chính: Whipping đánh nổi. Đặc điểm nổi bật: món chay, nổi bật với Whipping đánh nổi."
M0010,Đậu hũ áp chảo xốt sambal,Dinh dưỡng cân bằng,200.0,"Cà chua, Hành boaro, Gừng bằm, Dừa tươi, Mè trắng rang, cải con, Tương cà, Xốt tabaco, Muối, tiêu xanh Hạt nêm Ajingon Nấm Nước tương Phú Sĩ, dầu mè, Cà chua bi, Ớt sừng bằm, Hành tây, Đường",False,khác,"Tên món: Đậu hũ áp chảo xốt sambal. Phân loại: Không chay. Kiểu món: khác. Mục tiêu: Dinh dưỡng cân bằng. Calo: 200.0 kcal. Thời gian: 10. Độ khó: Dễ. Nguyên liệu chính: Cà chua, Hành boaro, Gừng bằm, Dừa tươi, Mè trắng rang, cải con, Tương cà, Xốt tabaco, Muối, tiêu xanh Hạt nêm Ajingon Nấm Nước tương Phú Sĩ, dầu mè, Cà chua bi, Ớt sừng bằm, Hành tây, Đường. Đặc điểm nổi bật: món không chay, nổi bật với Cà chua, Hành boaro, Gừng bằm, Dừa tươi."
M2143,Chân gà chiên chấm mắm mè,Dinh dưỡng cân bằng,230.0,"Nước cốt gừng, Nước cốt chanh, Nước mắm, Dầu ăn, Ớt băm, Cà chua bi, Đường",False,chiên,"Tên món: Chân gà chiên chấm mắm mè. Phân loại: Không chay. Kiểu món: chiên. Mục tiêu: Dinh dưỡng cân bằng. Calo: 230.0 kcal. Thời gian: 25. Độ khó: Dễ. Nguyên liệu chính: Nước cốt gừng, Nước cốt chanh, Nước mắm, Dầu ăn, Ớt băm, Cà chua bi, Đường. Đặc điểm nổi bật: món không chay kiểu chiên, nổi bật với Nước cốt gừng, Nước cốt chanh, Nước mắm, Dầu ăn."
M0917,Gỏi ếch rau rừng,Dinh dưỡng cân bằng,230.0,"Ếch, Hành tím cắt lát, Lòng đỏ trứng gà, Tỏi ớt băm, Nước mắm, nước mắm AJINOMOTO Giấm gạo lên men, Đậu phộng rang, hành tím phi, Muối, Bột mì, Dầu ăn, Hạt nêm ajingon heo, Ớt sợi, Nước hành tỏi, Hành tây tím, Đường",False,gỏi,"Tên món: Gỏi ếch rau rừng. Phân loại: Không chay. Kiểu món: gỏi. Mục tiêu: Dinh dưỡng cân bằng. Calo: 230.0 kcal. Thời gian: 25. Độ khó: Dễ. Nguyên liệu chính: Ếch, Hành tím cắt lát, Lòng đỏ trứng gà, Tỏi ớt băm, Nước mắm, nước mắm AJINOMOTO Giấm gạo lên men, Đậu phộng rang, hành tím phi, Muối, Bột mì, Dầu ăn, Hạt nêm ajingon heo, Ớt sợi, Nước hành tỏi, Hành tây tím, Đường. Đặc điểm nổi bật: món không chay kiểu gỏi, nổi bật với Ếch, Hành tím cắt lát, Lòng đỏ trứng gà, Tỏi ớt băm."
