"group_id","group_name","group_type"
DM01,"20/10",Dịp lễ
DM02,Bắc,Vùng miền
DM03,Bổ máu,Nhu cầu sức khỏe
DM04,Bổ mắt,Nhu cầu sức khỏe
DM05,Bữa sáng,Buổi
DM06,Bữa trưa,Buổi
DM07,Bữa tối,Buổi
DM08,Canh/súp,Cách nấu
DM09,Cha,Gia đình
DM10,Chiên,Cách nấu
DM11,Cuối tuần,Buổi
DM12,Các món ăn kèm,Món ăn
DM13,Cân bằng dinh dưỡng,Nhu cầu sức khỏe
DM14,Giáng sinh,Dịp lễ
DM15,Giúp làm việc trí não hiệu quả,Nhu cầu sức khỏe
DM16,Giảm khối mỡ thừa của cơ thể,Nhu cầu sức khỏe
DM17,Giảm mệt mỏi & kiệt sức,Nhu cầu sức khỏe
DM18,Gỏi/trộn,Cách nấu
DM19,Hấp/tiềm,Cách nấu
DM20,Hầm,Cách nấu
DM21,Hồi phục sau cảm,Nhu cầu sức khỏe
DM22,Hỗ trợ cho thận khỏe mạnh,Nhu cầu sức khỏe
DM23,Hỗ trợ hệ tiêu hóa,Nhu cầu sức khỏe
DM24,Hỗ trợ miễn dịch,Nhu cầu sức khỏe
DM25,Hỗ trợ tim và mạch máu,Nhu cầu sức khỏe
DM26,Hỗ trợ xây dựng khối cơ xương,Nhu cầu sức khỏe
DM27,Kho,Cách nấu
DM28,Lẩu,Cách nấu
DM29,Lễ hội hóa trang,Dịp lễ
DM30,Món chay,Món ăn
DM31,Món mặn,Món ăn
DM32,Món nhậu,Món ăn
DM33,Món xào,Cách nấu
DM34,Món á,Vùng miền
DM35,Món âu,Vùng miền
DM36,Mẹ,Gia đình
DM37,Nam,Vùng miền
DM38,Ngày hè,Dịp lễ
DM39,Người lớn tuổi,Gia đình
DM40,Nướng,Cách nấu
DM41,Om/rim,Cách nấu
DM42,Quay/rôti,Cách nấu
DM43,Sinh nhật,Dịp lễ
DM44,Thực đơn hàng ngày,Buổi
DM45,Trung,Vùng miền
DM46,Trung thu,Dịp lễ
DM47,Trẻ em,Gia đình
DM48,Tăng năng lượng,Nhu cầu sức khỏe
DM49,Tết,Dịp lễ
DM50,Tốt cho da,Nhu cầu sức khỏe
DM51,Tốt cho xương,Nhu cầu sức khỏe
DM52,Ăn kiêng,Món ăn
DM53,Ăn vặt,Món ăn
