"ingredient_id","ingredient_name","category_id"
NL1,Phi lê cá ngừ,N01
NL1001,Rau dền cơm,N08
NL1002,Rau sam,N08
NL1003,Ngọn bí,N02
NL1005,Rau má,N08
NL1006,Thịt nạc lưng,N02
NL1007,Cà hộp,N02
NL1012,Thịt gà má đùi,N06
NL1017,bia,N02
NL1028,Thịt ức vịt,N14
NL1030,Thịt bò,N13
NL1035,Thịt gà,N06
NL1036,Nấm tuyết khô,N08
NL1040,Mắm nêm,N02
NL1041,Thịt ốc lác,N17
NL1049,Tàu hũ ki,N02
NL1052,Tôm vột vỏ,N04
NL1054,Rượu,N02
NL1056,Bắp hạt lon,N02
NL106,Rau mồng tơi,N08
NL1120,Nấm bạch linh,N08
NL1067,Bánh đúc,N02
NL107,Mực ống,N07
NL10723,Thịt xay,N19
NL1075,Đùi vịt góc tư,N14
NL1140,Caramel,N19
NL1145,Ngò rí,N18
NL108,Tôm đất nhỏ,N04
NL1092,Rau đắng,N08
NL1094,Tôm chay,N04
NL1095,Cái bỗng rượu,N02
NL1098,thính,N02
NL1102,Bún gạo khô,N12
NL1105,Thịt đùi heo,N09
NL1109,Tương bần,N02
NL111,Nước cốt dừa,N02
NL1119,Mì khô,N02
NL112,Gạo lứt,N12
NL1122,Óc heo,N09
NL1124,Tép mỡ,N02
NL1127,Thanh long,N02
NL1128,Giò lụa,N02
NL113,Ham chay,N02
NL1133,Chôm chôm,N02
NL1135,Gà,N06
NL1137,Rau chuối,N08
NL1138,Hải sâm,N02
NL1139,Sườn cây,N02
NL114,Hạt sen,N02
NL1144,Miến dong,N10
NL1146,Kim chi nguyên cây,N02
NL1004,Rau bồ ngót,N08
NL1057,Đậu Hà Lan,N03
NL1011,Chem chép,N17
NL1022,Sò điệp,N02
NL1025,Nghêu,N17
NL1029,Bầu,N05
NL103,Thịt ếch,N11
NL1033,Thịt nguội,N09
NL1043,Nước màu dừa,N19
NL1130,Rau cần,N08
NL1148,Thịt sầu riêng,N02
NL1149,Táo đỏ,N02
NL1151,Thịt heo,N09
NL1152,Bưởi,N02
NL1153,Bơ trái,N02
NL1155,Bột gạo,N12
NL1159,Thịt vịt,N14
NL116,Sữa tươi không đường,N02
NL1160,Nhộng,N02
NL1161,Đậu đen,N02
NL1162,Thăn heo,N09
NL1163,Mỡ gáy,N02
NL1164,Nước cam,N02
NL1165,Gà góc tư,N06
NL1167,Kim chi cải thảo Hàn quốc Thêm nước kim chi,N02
NL117,Bắp bò,N13
NL1170,Kiệu chua,N02
NL1172,sữa tươi có đường,N02
NL1173,Sữa hộp không đường,N02
NL1174,Thịt ba rọi chay,N02
NL1175,Tắc trái,N02
NL1178,Mì gói,N02
NL1179,Măng khô,N02
NL1180,ớt Muối,N02
NL1182,Thịt càng ghẹ,N02
NL1183,Củ hũ dừa chọn lấy phần thân,N03
NL1185,Nước lọc,N02
NL1186,Sữa tươi fullcream,N02
NL1189,Mực ống làm sạch,N07
NL119,Hành tím,N02
NL1190,Mực khô,N07
NL1083,Muối tôm,N04
NL1081,Đuôi bò,N13
NL1103,Giò heo,N09
NL1091,Lá giang,N08
NL1104,Càng cua,N21
NL1106,Đường,N02
NL1107,Nước mắm,N02
NL1187,Nước cốt dừa,N19
NL1129,Thịt vịt quay,N02
NL1192,Hành tím Ấn Độ,N02
NL1195,Dẻ sụn heo,N09
NL120,Pate gan heo,N09
NL1201,Dụng cụ khuôn rộng,N02
NL1203,Màu dành dành,N02
NL1204,Màu gấc,N02
NL1205,Nui ngôi sao nhỏ khô,N02
NL1206,Nha đam,N02
NL1207,Cải cầu vồng,N02
NL1208,Chim cút,N02
NL1209,Ốc lác con vừa,N17
NL121,Tắc,N02
NL1214,Nước cam vàng,N02
NL1217,Mận đỏ,N02
NL1218,Củ cải trắng khoảng,N03
NL122,Trứng,N02
NL1221,Đậu cove Nhật,N02
NL1222,Konnyaku nâu Thạch khoai môn,N02
NL1224,Cải mầm,N02
NL1226,Đậu hũ mơ nhỏ,N02
NL1227,Trân châu khô,N02
NL1229,Creamcheese,N02
NL1230,Trà sữa Royal Blendy,N02
NL1231,Blendy Trà Sữa Royal,N02
NL1233,Bí ngòi vàng,N02
NL1235,Mơ đóng hộp,N02
NL1236,Nước mơ đóng hộp,N02
NL124,Vani,N02
NL1241,Sườn chay,N02
NL1242,Củ kiệu chua,N03
NL1244,Chanh dây,N02
NL1247,Chân gà,N06
NL1248,Thịt heo đầu vai,N09
NL1249,Giò thủ,N02
NL1250,Gân bò giòn,N13
NL1251,Quả Việt quất tươi blueberry,N05
NL1255,Tóc tiên,N02
NL1257,Mọc giò sống,N02
NL1259,Thịt thăn heo,N09
NL1260,Cồi diệp,N02
NL1261,Thịt heo nạc dăm,N09
NL1262,Dầu hành,N02
NL1263,Pate gan,N02
NL1264,Củ nén lột sạch vỏ,N03
NL1267,Gan heo chọn gan bột,N09
NL1268,Nấm đùi gà nhỏ,N06
NL1269,Lá lốt lớn,N02
